391,138,"Josh.",13,13
392,138,"2Sam.",3,3
393,138,"2Sam.",13,37
394,138,"2Sam.",13,38
395,138,"2Sam.",14,23
396,138,"2Sam.",14,32
397,138,"2Sam.",15,8
398,138,"1Chr.",2,23
399,138,"1Chr.",3,2
400,139,"Josh.",19,44
401,139,"Josh.",21,23
402,139,"1Kgs.",15,27
403,139,"1Kgs.",16,15
404,139,"1Kgs.",16,17
405,140,"1Kgs.",1,33
406,140,"1Kgs.",1,38
407,140,"1Kgs.",1,45
408,140,"2Chr.",32,30
409,140,"2Chr.",33,14
410,141,"1Sam.",28,4
411,141,"2Sam.",1,21
412,141,"2Sam.",21,12
413,142,"Gen.",31,21
414,142,"Gen.",31,23
415,142,"Gen.",31,25
416,142,"Gen.",37,25
417,142,"Num.",32,1
418,142,"Num.",32,26
419,142,"Num.",32,29
420,142,"Num.",32,39
421,142,"Num.",32,40
422,142,"Deut.",2,36
423,142,"Deut.",3,10
424,142,"Deut.",3,12
425,142,"Deut.",3,13
426,142,"Deut.",3,15
427,142,"Deut.",3,16
428,142,"Deut.",4,43
429,142,"Deut.",34,1
430,142,"Josh.",12,2
431,142,"Josh.",12,5
432,142,"Josh.",13,11
433,142,"Josh.",13,25
434,142,"Josh.",13,31
435,142,"Josh.",17,1
436,142,"Josh.",17,5
437,142,"Josh.",17,6
438,142,"Josh.",20,8
439,142,"Josh.",21,38
440,142,"Josh.",22,9
441,142,"Josh.",22,13
442,142,"Josh.",22,15
443,142,"Josh.",22,32
444,142,"Judg.",5,17
445,142,"Judg.",10,4
446,142,"Judg.",10,8
447,142,"Judg.",10,17
448,142,"Judg.",10,18
449,142,"Judg.",11,5
450,142,"Judg.",11,7
451,142,"Judg.",11,8
452,142,"Judg.",11,9
453,142,"Judg.",11,10
454,142,"Judg.",11,11
455,142,"Judg.",11,29
456,142,"Judg.",12,4
457,142,"Judg.",12,5
458,142,"Judg.",12,7
459,142,"Judg.",20,1
460,142,"1Sam.",13,7
461,142,"2Sam.",2,9
462,142,"2Sam.",17,26
463,142,"2Sam.",24,6
464,142,"1Kgs.",4,13
465,142,"1Kgs.",4,19
466,142,"1Kgs.",17,1
467,142,"2Kgs.",10,33
468,142,"2Kgs.",15,25
469,142,"2Kgs.",15,29
470,142,"1Chr.",2,22
471,142,"1Chr.",5,9
472,142,"1Chr.",5,10
473,142,"1Chr.",5,16
474,142,"1Chr.",6,80
475,142,"1Chr.",26,31
476,142,"1Chr.",27,21
477,142,"Ps.",60,7
478,142,"Ps.",108,8
479,142,"Sng.",4,1
480,142,"Sng.",6,5
481,142,"Jer.",8,22
482,142,"Jer.",22,6
483,142,"Jer.",46,11
484,142,"Jer.",50,19
485,142,"Ezek.",47,18
486,142,"Hos.",6,8
487,142,"Hos.",12,11
488,142,"Amos.",1,3
489,142,"Amos.",1,13
490,142,"Obad.",1,19
491,142,"Mic.",7,14
492,142,"Zech.",10,10
493,143,"2Kgs.",2,1
494,143,"2Kgs.",4,38
495,144,"Josh.",15,51
496,144,"2Sam.",15,12
497,145,"2Chr.",28,18
498,146,"Rev.",20,8
499,147,"Josh.",10,41
500,147,"Josh.",11,16
501,147,"Josh.",15,51
502,148,"2Kgs.",17,6
503,148,"2Kgs.",18,11
504,148,"2Kgs.",19,12
505,148,"1Chr.",5,26
506,148,"Isa.",37,12
507,149,"Num.",34,6
508,149,"Num.",34,7
509,149,"Josh.",1,4
510,149,"Josh.",9,1
511,149,"Josh.",15,12
512,149,"Josh.",15,47
513,149,"Josh.",23,4
514,149,"Ezek.",47,10
515,149,"Ezek.",47,15
516,149,"Ezek.",47,19
517,149,"Ezek.",47,20
518,149,"Ezek.",48,28
519,150,"2Kgs.",17,6
520,150,"2Kgs.",18,11
521,150,"1Chr.",5,26
522,151,"1Sam.",23,19
523,151,"1Sam.",26,1
524,151,"1Sam.",26,3
525,152,"Zech.",12,11
526,153,"Josh.",15,37
527,154,"Neh.",11,34
528,155,"Josh.",18,28
529,156,"Josh.",15,58
530,157,"2Sam.",8,9
531,157,"2Kgs.",14,28
532,157,"2Kgs.",17,24
533,157,"2Kgs.",17,30
534,157,"2Kgs.",18,34
535,157,"2Kgs.",19,13
536,157,"2Kgs.",23,33
537,157,"2Kgs.",25,21
538,157,"1Chr.",18,9
539,157,"2Chr.",8,4
540,157,"Isa.",10,9
541,157,"Isa.",11,11
542,157,"Isa.",36,19
543,157,"Isa.",37,13
544,157,"Jer.",39,5
545,157,"Jer.",49,23
546,157,"Jer.",52,9
547,157,"Jer.",52,27
548,157,"Ezek.",47,16
549,157,"Ezek.",47,17
550,157,"Ezek.",48,1
551,157,"Amos.",6,2
552,157,"Zech.",9,2
553,158,"Josh.",19,35
554,158,"1Chr.",2,55
555,159,"Isa.",30,4
556,160,"Josh.",19,14
557,161,"Judg.",7,1
558,161,"2Sam.",23,25
559,161,"1Chr.",11,27
560,162,"Judg.",4,2
561,162,"Judg.",4,13
562,162,"Judg.",4,16
563,163,"Gen.",25,18
564,163,"1Sam.",15,7
565,164,"Num.",34,9
566,164,"Num.",34,10
567,164,"Ezek.",47,17
568,164,"Ezek.",48,1
569,165,"Josh.",15,28
570,165,"Josh.",19,3
571,165,"1Chr.",4,28
572,165,"Neh.",11,27
573,166,"Num.",11,35
574,166,"Num.",12,16
575,166,"Num.",33,17
576,166,"Num.",33,18
577,166,"Deut.",1,1
578,167,"Neh.",11,33
579,168,"Ezek.",27,18
580,169,"Josh.",19,33
581,170,"Josh.",19,25
582,170,"Josh.",21,31
583,171,"2Sam.",2,16
584,172,"2Kgs.",18,34
585,172,"2Kgs.",19,13
586,172,"Isa.",37,13
587,173,"1Sam.",22,5
588,174,"Ezek.",47,15
589,174,"Ezek.",48,1
590,175,"Col.",4,13
591,176,"Gen.",14,15
592,177,"Josh.",15,51
593,177,"Josh.",21,15
594,178,"Josh.",19,38
595,179,"Num.",33,32
596,179,"Num.",33,33
597,180,"Isa.",15,5
598,180,"Jer.",48,3
599,180,"Jer.",48,5
600,180,"Jer.",48,34
601,181,"Josh.",19,29
602,182,"Josh.",19,34
603,183,"Josh.",19,15
604,184,"Est.",1,1
605,184,"Est.",8,9
606,185,"Josh.",18,27
607,186,"Josh.",19,42
608,187,"Gen.",32,22
609,187,"Num.",21,24
610,187,"Deut.",2,37
611,187,"Deut.",3,16
612,187,"Josh.",12,2
613,187,"Judg.",11,13
614,187,"Judg.",11,22
615,188,"Josh.",15,11
616,189,"Josh.",19,33
617,190,"Josh.",15,53
618,191,"Josh.",16,6
619,191,"Josh.",16,7
620,192,"2Kgs.",15,29
621,193,"Josh.",19,12
622,194,"Josh.",19,45
623,195,"Josh.",10,1
624,195,"Josh.",10,3
625,195,"Josh.",10,5
626,195,"Josh.",10,23
627,195,"Josh.",12,10
628,195,"Josh.",15,8
629,195,"Josh.",15,63
630,195,"Josh.",18,28
631,195,"Judg.",1,7
632,195,"Judg.",1,8
633,195,"Judg.",1,21
634,195,"Judg.",19,10
635,195,"1Sam.",17,54
636,195,"2Sam.",5,5
637,195,"2Sam.",5,6
638,195,"2Sam.",5,13
639,195,"2Sam.",5,14
640,195,"2Sam.",8,7
641,195,"2Sam.",9,13
642,195,"2Sam.",10,14
643,195,"2Sam.",11,1
644,195,"2Sam.",11,12
645,195,"2Sam.",12,31
646,195,"2Sam.",14,23
647,195,"2Sam.",14,28
648,195,"2Sam.",15,8
649,195,"2Sam.",15,11
650,195,"2Sam.",15,14
651,195,"2Sam.",15,29
652,195,"2Sam.",15,37
653,195,"2Sam.",16,3
654,195,"2Sam.",16,15
655,195,"2Sam.",17,20
656,195,"2Sam.",19,19
657,195,"2Sam.",19,25
658,195,"2Sam.",19,33
659,195,"2Sam.",19,34
660,195,"2Sam.",20,2
661,195,"2Sam.",20,3
662,195,"2Sam.",20,7
663,195,"2Sam.",20,22
664,195,"2Sam.",24,8
665,195,"2Sam.",24,16
666,195,"1Kgs.",2,11
667,195,"1Kgs.",2,36
668,195,"1Kgs.",2,38
669,195,"1Kgs.",2,41
670,195,"1Kgs.",3,1
671,195,"1Kgs.",3,15
672,195,"1Kgs.",8,1
673,195,"1Kgs.",9,15
674,195,"1Kgs.",9,19
675,195,"1Kgs.",10,2
676,195,"1Kgs.",10,26
677,195,"1Kgs.",10,27
678,195,"1Kgs.",11,7
679,195,"1Kgs.",11,13
680,195,"1Kgs.",11,29
681,195,"1Kgs.",11,32
682,195,"1Kgs.",11,36
683,195,"1Kgs.",11,42
684,195,"1Kgs.",12,18
685,195,"1Kgs.",12,21
686,195,"1Kgs.",12,27
687,195,"1Kgs.",12,28
688,195,"1Kgs.",14,21
689,195,"1Kgs.",14,25
690,195,"1Kgs.",15,2
691,195,"1Kgs.",15,4
692,195,"1Kgs.",15,10
693,195,"1Kgs.",22,42
694,195,"2Kgs.",8,17
695,195,"2Kgs.",8,26
696,195,"2Kgs.",9,28
697,195,"2Kgs.",12,1
698,195,"2Kgs.",12,17
699,195,"2Kgs.",12,18
700,195,"2Kgs.",14,2
701,195,"2Kgs.",14,13
702,195,"2Kgs.",14,19
703,195,"2Kgs.",14,20
704,195,"2Kgs.",15,2
705,195,"2Kgs.",15,33
706,195,"2Kgs.",16,2
707,195,"2Kgs.",16,5
708,195,"2Kgs.",18,2
709,195,"2Kgs.",18,17
710,195,"2Kgs.",18,22
711,195,"2Kgs.",18,35
712,195,"2Kgs.",19,10
713,195,"2Kgs.",19,21
714,195,"2Kgs.",19,31
715,195,"2Kgs.",21,1
716,195,"2Kgs.",21,4
717,195,"2Kgs.",21,7
718,195,"2Kgs.",21,12
719,195,"2Kgs.",21,13
720,195,"2Kgs.",21,16
721,195,"2Kgs.",21,19
722,195,"2Kgs.",22,1
723,195,"2Kgs.",22,14
724,195,"2Kgs.",23,1
725,195,"2Kgs.",23,2
726,195,"2Kgs.",23,4
727,195,"2Kgs.",23,5
728,195,"2Kgs.",23,6
729,195,"2Kgs.",23,9
730,195,"2Kgs.",23,13
731,195,"2Kgs.",23,20
732,195,"2Kgs.",23,23
733,195,"2Kgs.",23,24
734,195,"2Kgs.",23,27
735,195,"2Kgs.",23,30
736,195,"2Kgs.",23,31
