data/id,data/dblId,data/relatedDbl,data/name,data/nameLocal,data/abbreviation,data/abbreviationLocal,data/description,data/descriptionLocal,data/language/id,data/language/name,data/language/nameLocal,data/language/script,data/language/scriptDirection,data/countries/0/id,data/countries/0/name,data/countries/0/nameLocal,data/type,data/updatedAt,data/countries/1/id,data/countries/1/name,data/countries/1/nameLocal,data/countries/2/id,data/countries/2/name,data/countries/2/nameLocal,data/countries/3/id,data/countries/3/name,data/countries/3/nameLocal,data/countries/4/id,data/countries/4/name,data/countries/4/nameLocal,data/countries/5/id,data/countries/5/name,data/countries/5/nameLocal,data/audioBibles/0/id,data/audioBibles/0/name,data/audioBibles/0/nameLocal,data/audioBibles/0/dblId,data/countries/6/id,data/countries/6/name,data/countries/6/nameLocal,data/countries/7/id,data/countries/7/name,data/countries/7/nameLocal,data/countries/8/id,data/countries/8/name,data/countries/8/nameLocal,data/countries/9/id,data/countries/9/name,data/countries/9/nameLocal,data/countries/10/id,data/countries/10/name,data/countries/10/nameLocal,data/countries/11/id,data/countries/11/name,data/countries/11/nameLocal,data/countries/12/id,data/countries/12/name,data/countries/12/nameLocal,data/countries/13/id,data/countries/13/name,data/countries/13/nameLocal,data/countries/14/id,data/countries/14/name,data/countries/14/nameLocal
f95e2d9b384f8e6e-01,f95e2d9b384f8e6e,,Caning Bible Translation,Sorunu Kaläg na Ikä Caning,SHJ,SHJ,Gospel of Luke,Inycil Luka na Ikä Caning,shj,Shatt,Shatt,Latin,LTR,SS,South Sudan,South Sudan,text,2020-06-22T20:02:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592420522e16049f-01,592420522e16049f,,Reina Valera 1909,Reina Valera 1909,RVR09,RVR09,Biblia Reina Valera 1909,Biblia Reina Valera 1909,spa,Spanish,Español,Latin,LTR,ZZ,Unspecific,Unspecific,text,2020-08-07T15:33:13.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482ddd53705278cc-01,482ddd53705278cc,,"The New Testament in Spanish, Free Bible Version","El Nuevo Testamento, Versión Biblia Libre",VBL,VBL,common,Nuevo Testmento,spa,Spanish,Español,Latin,LTR,ES,Spain,Spain,text,2020-09-11T19:13:10.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a65010324d677b6-01,2a65010324d677b6,,Akukem Portions for DBL,Mak Osɨrisira Akaman Aghuuŋ ko Iesusɨm Mbɨsevisir Gumasi,Akg-MkAc,Akg-MkAc,,Published Mark & Acts,spm,Akukem,Akɨghɨman Akam,Latin,LTR,PG,Papua New Guinea,Papua New Guinea,text,2020-09-15T03:55:45.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06995ce9cd23361b-01,06995ce9cd23361b,,Serbian Bible,Sveta Biblija,srp1865,SRP1865,common,zajednički,srp,Serbian,Српски/ Srpski,Latin,LTR,RS,Serbia,Serbia,text,2020-09-11T14:30:52.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbeb583cd75c6356-01,bbeb583cd75c6356,,Susu Bible,"Soso Kitaabuie: Tawureta, Yabura, Inyila",Susu,Soso,Bible in three volumes,Soso Kitaabuie,sus,Susu,Susu,Latin,LTR,GN,Guinea,Guinea,text,2020-07-28T23:00:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d5220a02a7aaac6-01,2d5220a02a7aaac6,,Susu Bible in Arabic Script,Ala xa Kitaabui Sosoe bɛ,AKS,AKS,Protestant,"Tawureta Munsa, Yabura Dawuda, Inyila Isa",sus,Susu,Susu,Arabic,RTL,GN,Guinea,Guinea,text,2020-09-11T17:44:29.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa4317c59f0825e0-01,fa4317c59f0825e0,,Swedish Core Bible - expanded,Svenska Kärnbibeln,SKB,SKB,En expanderad översättning,En expanderad översättning,swe,Swedish,Svenska,Latin,LTR,SE,Sweden,Sweden,text,2021-02-25T09:12:59.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03a021185023710b-01,03a021185023710b,,Indian Revised Version (IRV) Tamil - 2019,இண்டியன் ரிவைஸ்டு வெர்ஸன் (IRV) - தமிழ்,IRVTam,IRVTam,Protestant Bible for all,Protestant Bible for all,tam,Tamil,தமிழ்,Tamil,LTR,IN,India,India,text,2020-09-11T14:19:29.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e3b1a957009c6ca-01,8e3b1a957009c6ca,,New Testament in Tay,Jisas Klays Takaw Teplep Ne,TayNT,TayNT,New Testament,New Testament,taw,Tay,Tai,Roman,LTR,PG,Papua New Guinea,Papua New Guinea,text,2020-09-11T22:53:12.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
